name,latitude,longitude,feature_type,category,town,state,name_note,source,error_margin_m
Wachusett Reservoir,42.36944,-71.73833,lake,native-name,Clinton/Sterling,MA,Named for Mount Wachusett; reservoir also touches Boylston and West Boylston,Wikipedia: Wachusett Reservoir,800
Assabet River,42.465300,-71.358400,river,native-name,Concord,MA,Algonquian name of uncertain meaning; proposed as 'at the place where the river turns back',Wikipedia: Assabet River,1500
Punkatasset Hill,42.481483,-71.346726,hill,native-name,Concord,MA,Natick-language name; sources translate it as 'shallow brook',Wikipedia: Punkatasset Hill,300
Wahconah Falls,42.487433,-73.114591,other,native-name,Dalton,MA,Mohican name; local legend of a Mohican princess Wahconah,Wikipedia,200
Apponagansett Bay,41.575105,-70.941149,other,native-name,Dartmouth,MA,Native 'Ponagansett'; bay at the mouth of the Paskamanset River,GeoNames,500
Nonquitt,41.562605,-70.942538,other,native-name,Dartmouth,MA,Native-derived name for this Buzzards Bay shore village,GeoNames,500
Paskamanset River,41.570940,-71.004480,river,native-name,Dartmouth/New Bedford,MA,Freshwater portion kept its Native name; drains via Slocums River,Wikipedia,1000
Mount Sugarloaf (Wequamps),42.47,-72.592222,mountain,native-name,Deerfield,MA,"Wequamps, 'at the point/extremity of'; Pocumtuck name for the peak",Wikipedia; Deerfield 1704 museum,400
Pocumtuck,42.545,-72.60444,other,native-name,Deerfield,MA,Principal Pocumtuck-confederacy village; gave the region/people its name,Wikipedia,1500
Scargo Lake,41.743060,-70.183330,lake,native-name,Dennis,MA,Named for legendary Wampanoag princess Scargo,Wikipedia,300
Manhan River,42.3175,-72.8217,river,native-name,Easthampton,MA,Poss. Algonquian; local tradition ties name to 'valley of the little river',Wikipedia; nashawannuckpond.org,1200
Poquanticut Brook,42.021770,-71.130050,brook,native-name,Easton,MA,Also lends its name to Poquanticut Avenue nearby,Mapcarta/HometownLocator,300
Chappaquiddick Island,41.376110,-70.475830,island,native-name,Edgartown,MA,Wampanoag 'cheppiaquidne' = separated island,Wikipedia,500
Katama,41.358451,-70.524469,other,native-name,Edgartown,MA,Wampanoag 'crab-fishing place',Wikipedia,300
Indian Line Farm,42.158779,-73.453596,other,native-reference,Egremont,MA,"Named for the historic Indian Line, a Stockbridge Mohican land boundary here",Housatonic Heritage,300
Chebacco Lake,42.61198,-70.81115,lake,native-name,Essex/Hamilton,MA,Chebacco = 'the great marsh',Wikipedia; Topozone,400
North Watuppa Pond,41.706389,-71.106111,pond,native-name,Fall River,MA,'Place of boats',Wikipedia,500
Quequechan River,41.695560,-71.147220,river,native-name,Fall River,MA,"'Falling River', source of the city's English name",Wikipedia,500
Copicut River,41.674270,-71.021152,river,native-name,Fall River/Dartmouth,MA,"Flows from the Copicut Reservoir, former Copicut Swamp",Wikipedia/GeoNames,500
South Watuppa Pond,41.664527,-71.126273,pond,native-name,Fall River/Westport,MA,"'Place of boats', companion to North Watuppa Pond",Wikipedia,500
Coonamessett Pond,41.619207,-70.567156,pond,native-name,Falmouth,MA,"Coonamessett='long fish, white pine place' (Wampanoag)",APCC pond list; Wikipedia,300
Coonamessett River,41.581983,-70.573533,river,native-name,Falmouth,MA,"Coonamessett='long fish, white pine place'",Wikipedia,600
Nobska Pond,41.518385,-70.658815,pond,native-name,Falmouth,MA,"Named for adjacent Nobska Point, Wampanoag-derived",APCC pond list,200
Assonet River,41.782046,-71.111989,river,native-name,Freetown/Berkley,MA,"'Place of the stone', from Algonquian 'hassun-et'",Wikipedia/GeoNames,800
Annisquam River,42.65833,-70.67722,river,native-name,Gloucester,MA,Annisquam = 'top of the rock' (wanashque + ompsk),"Wikipedia (Annisquam, Massachusetts)",1500
Cuttyhunk Island,41.418890,-70.933890,island,native-name,Gosnold,MA,"Originally 'Poocuohhunkkunnah,' Wampanoag for 'point of departure'",Wikipedia,500
Nashawena Island,41.429275,-70.874478,island,native-name,Gosnold,MA,Wampanoag 'middle island',Wikipedia,500
Naushon Island,41.496498,-70.707252,island,native-name,Gosnold,MA,Originally called 'Cataymucke' by Native inhabitants,Wikipedia,1000
Nonamesset Island,41.508442,-70.686975,island,native-name,Gosnold,MA,"Elizabeth Islands group, Wampanoag name",Wikipedia,300
Pasque Island,41.450479,-70.826712,island,native-name,Gosnold,MA,Elizabeth Islands group,Wikipedia,300
Penikese Island,41.450107,-70.923091,island,native-name,Gosnold,MA,Elizabeth Islands group,Wikipedia,300
Hassanamesit,42.2068,-71.68515,other,native-name,Grafton,MA,Nipmuc 'at a place of small stones'; John Eliot praying town and still a state-recognized Nipmuc reservation,HMDB historical marker,300
Hassanamisco Reservation,42.212,-71.7045,other,native-name,Grafton,MA,"190-acre Hassanamesit Woods; still-held Nipmuc reservation land, believed site of the old praying-village meetinghouse",Wikipedia: Hassanamisco Nipmuc / Mapcarta,400
Peeskawso Peak,42.248025,-73.340589,mountain,native-name,Great Barrington,MA,Mohican word meaning 'virtuous woman'; renamed 2021 from Squaw Peak with Stockbridge-Munsee input,PeakVisor/Berkshire Eagle,200
Westenhuc (River Walk),42.19583,-73.3625,other,native-name,Great Barrington,MA,Native name marked by stone marker at the Old Indian Fordway on the Housatonic,Native American Heritage Trail,400
Skatekook,42.19583,-73.3625,other,native-name,Great Barrington/Sheffield/Egremont,MA,Mohican name for an 18th-c. Indian reservation tract from the Green-Housatonic confluence west to NY,Native American Heritage Trail,3000
Monument Mountain,42.247333,-73.340722,mountain,native-reference,Great Barrington/Stockbridge,MA,English name recalls a Mohican stone-prayer cairn once atop the peak,Wikipedia,500
Indian Hill Road,42.588395,-71.556054,street,native-reference,Groton,MA,Street name referencing local Native American history,Redfin listing metadata,100
Indian Head Pond,42.050000,-70.850000,pond,native-reference,Hanson,MA,Source pond of Indian Head Brook,Wikipedia,400
Maquan Pond,42.060560,-70.851390,pond,native-name,Hanson,MA,Algonquian pond name,Wikipedia,400
Wampatuck Pond,42.065000,-70.865000,pond,native-name,Hanson,MA,Algonquian pond name,Wikipedia,400
Indian Head River,42.100529,-70.822512,river,native-reference,Hanson/Pembroke,MA,Named for a Native landmark; ran past the Wampanoag village of Mattakeeset,Wikipedia/USGS,800
Wombemessock,42.35,-72.2,other,native-name,Hardwick,MA,Loup-language name for the area before it became the English plantation of Lambstown/Hardwick,"Wikipedia: Hardwick, Massachusetts",3000
Pentucket,42.783,-71.083,other,native-name,Haverhill,MA,Pentucket = 'place of the winding river'; original name for Haverhill,"Wikipedia (Haverhill, Massachusetts)",1500
Quinobequin,42.192778,-71.511944,river,native-name,Hopkinton,MA,"Massachusett name for the Charles River, from 'quinnuppe' (it turns)/'meandering'",Wikipedia: Charles River,500
Agawam,42.67917,-70.84167,other,native-name,Ipswich,MA,Agawam = 'beyond/other side of the marsh'; original village name,Historic Ipswich; Wikipedia (Ipswich),800
Assawompset Pond,41.840280,-70.919440,pond,native-name,Lakeville/Middleborough,MA,Wampanoag for 'place of the white stones',Wikipedia,500
Pocksha Pond,41.827780,-70.894440,pond,native-name,Lakeville/Middleborough,MA,Part of the Assawompset Pond Complex chain,Wikipedia,300
Great Quittacas Pond,41.802780,-70.898610,pond,native-name,Lakeville/Middleborough/Rochester,MA,Reservoir pond in the Assawompset pond complex,Wikipedia,400
Little Quittacas Pond,41.791670,-70.916670,pond,native-name,Lakeville/Rochester,MA,Companion pond to Great Quittacas Pond,Wikipedia,300
Nashaway,42.455556,-71.673611,other,native-name,Lancaster,MA,Name of the Nipmuc/Nashaway people whose territory became Lancaster; root of 'Nashua',"Wikipedia: Lancaster, Massachusetts",3000
Nashua River,42.44722,-71.66917,river,native-name,Lancaster,MA,"Algonquian, said to mean 'beautiful river with a pebbly bottom'; formed at confluence in Lancaster",Wikipedia: Nashua River,1000
Towtaid,42.24583,-71.90917,other,native-name,Leicester,MA,Nipmuc name for the area that became Leicester,"Wikipedia: Leicester, Massachusetts",3000
Yokun's Seat (Yokun Ridge),42.351389,-73.337778,mountain,native-name,Lenox,MA,Named for Mohican chief Jehoiakim Yokun; Lenox was once called Yokuntown,Wikipedia,500
Monoosnoc Brook,42.52509,-71.73702,brook,native-name,Leominster,MA,Algonquian-derived brook name; also gives its name to North/South Monoosnoc Hills,Mapcarta,800
Merrimack River,42.650625,-71.327339,river,native-name,Lowell,MA,"Possibly 'swift water'/'strong place', or Thoreau's 'sturgeon river'",Wikipedia: Merrimack River,2000
Musketaquid,42.646400,-71.302500,river,native-name,Lowell,MA,"Native name for the Concord River, meaning 'grass-ground' river",Wikipedia: Concord River,2000
Pawtucket Falls,42.650625,-71.327339,other,native-name,Lowell,MA,Algonquian 'at the falls in the tidal stream'; Pennacook fishing ground,Wikipedia: Pawtucket Falls,300
Wamesit,42.646400,-71.302500,other,native-name,Lowell,MA,Pennacook village and praying town at the Concord-Merrimack confluence,Wikipedia: Wamesit,1000
Wannalancit Mills,42.649598,-71.316698,other,native-reference,Lowell,MA,"Mill complex named for Wonalancet, a Pennacook sachem",Wikipedia: Wannalancit Mills,150
Wallamanumps,42.154583,-72.479867,rock,native-name,Ludlow,MA,'Red Stone'; falls on the Chicopee River,HMdb.org historical marker,200
Attaquin Beach,41.668000,-70.479900,park,native-reference,Mashpee,MA,"Named for Solomon Attaquin, 19th-c. Wampanoag hotelier/leader",Wikipedia,200
Mashpee,41.648330,-70.481670,other,native-name,Mashpee,MA,'Mass-nippe' = 'great water/great cove',Wikipedia,1000
Mashpee River,41.596111,-70.466944,river,native-name,Mashpee,MA,Mouth at Popponesset Bay; named for Mashpee Wampanoag,Wikipedia,600
Mashpee-Wakeby Pond,41.660666,-70.486757,pond,native-name,Mashpee,MA,Mashpee='great water/cove'+Wakeby; largest pond on Cape Cod,APCC pond list,400
Popponesset Island,41.585560,-70.458890,island,native-name,Mashpee,MA,Named for Popponesset Bay,Wikipedia,300
Santuit Pond,41.654350,-70.458373,pond,native-name,Mashpee,MA,Santuit = 'cool water place' (Wampanoag),APCC pond list,300
Santuit River,41.617000,-70.450000,river,native-name,Mashpee/Barnstable,MA,"Also called Cotuit River; Wampanoag name, boundary stream",Wikipedia,600
Ashumet Pond,41.632798,-70.534183,pond,native-name,Mashpee/Falmouth,MA,Wampanoag-derived pond name,APCC pond list,300
Titicut,41.933435,-70.974487,other,native-name,Middleborough,MA,Historic Native village and later parish along the Taunton/Nemasket rivers,GeoNames,800
Nemasket River,41.921878,-70.923361,river,native-name,Middleborough/Lakeville,MA,'Place where the fish are'; major alewife run to the Taunton River,Wikipedia/USGS,1500
Great Blue Hill,42.212043,-71.115606,hill,native-name,Milton/Canton/Randolph,MA,Massachuseuck = 'people at the great hill'; source of the name Massachusetts,Wikipedia (Great Blue Hill),500
Peskeompskut,42.598943,-72.556809,other,native-name,Montague,MA,Pocumtuc village at the Great Falls; 'where salmon jump at the split rocks',Wikipedia; Nolumbeka Project,500
Bash Bish Falls,42.11306,-73.49528,other,native-name,Mount Washington,MA,"Named for Bash-Bish, a Mohican woman in local legend of the falls",Wikipedia/Atlas Obscura,200
Nahant,42.42639,-70.91944,neck,native-name,Nahant,MA,Nahant = 'the point' or 'almost an island' (Natick),"Wikipedia (Nahant, Massachusetts)",800
Madaket,41.272780,-70.198060,other,native-name,Nantucket,MA,"Village name; historic spellings Madaquet, Maddequet",Wikipedia,300
Muskeget Island,41.335280,-70.304170,island,native-name,Nantucket,MA,Wampanoag-derived island name,Wikipedia,300
Polpis,41.298330,-70.012780,other,native-name,Nantucket,MA,Historic spellings Podpis/Poadpis,Wikipedia,300
Sesachacha Pond,41.296110,-69.980140,pond,native-name,Nantucket,MA,Wampanoag-derived pond name near Quidnet,Mapcarta,400
Siasconset,41.262500,-69.966110,other,native-name,Nantucket,MA,"Wampanoag 'place of great bones,' from missi+askon",Wikipedia,300
Tuckernuck Island,41.302220,-70.257220,island,native-name,Nantucket,MA,Said to mean 'loaf of bread' (Wampanoag),Wikipedia,300
Wauwinet,41.329170,-69.996110,other,native-name,Nantucket,MA,Named for a local Native chief,Wikipedia,300
Lake Cochituate,42.318988,-71.378151,lake,native-name,Natick/Wayland/Framingham,MA,Algonquian name; also names the Cochituate village in Wayland,Wikipedia: Lake Cochituate,700
Umpachene River,42.101,-73.233667,river,native-name,New Marlborough,MA,Named for Mohican sachem Aaron Umpachene; empties into Konkapot near Southfield village,Wikipedia,800
Quascacunquen,42.76667,-70.845833,other,native-name,Newbury,MA,Quascacunquen = 'waterfall'; original name for the land that became Newbury (Byfield falls),"Wikipedia (Newbury, Massachusetts)",1500
Nonantum,42.362500,-71.202220,other,native-name,Newton,MA,"Massachusett 'I bless it'; named 1637 for Eliot's praying-Indian settlement, earlier 'Cohannet'","Wikipedia: Nonantum, Massachusetts",400
Nonotuck,42.333,-72.65,other,native-name,Northampton,MA,"Pocumtuc name for the area, 'the midst of the river'",Wikipedia; Historic Northampton,2000
Pawaagonick (Mill River),42.333,-72.65,river,native-name,Northampton,MA,'Place of small long stones'; native name for the Mill River,Historic Northampton,2500
Capawonk,42.34167,-72.58889,meadow,native-name,Northampton/Hadley,MA,'Enclosed/protected place'; native name for river-bend meadows here,Historic Northampton,2000
Norwottuck,42.34,-72.6,other,native-name,Northampton/Hadley,MA,Algonquian name for area from South Hadley Falls to Mt Sugarloaf,Wikipedia,3000
King Philip's Hill,42.683889,-72.476389,hill,native-reference,Northfield,MA,"Named for Metacomet (King Philip), Wampanoag sachem of King Philip's War",Wikipedia,300
Squakheag,42.695833,-72.453333,other,native-name,Northfield,MA,Nipmuc/Sokoki village name for the site of Northfield,Wikipedia,1500
Winnecunnet Pond,41.970830,-71.131940,pond,native-name,Norton,MA,Said to mean 'beautiful place in the pines',Wikipedia,400
Nauset Beach,41.840583,-69.952083,other,native-name,Orleans,MA,"Named for the Nauset people, 'place between'",Wikipedia,500
Quaboag River,42.17917,-72.36389,river,native-name,Palmer,MA,"Nipmuck 'red-water pond'; meets Ware R. here, forming the Chicopee R.",Wikipedia,1500
Nashua River,42.671667,-71.564722,river,native-name,Pepperell,MA,"Algonquian, said to mean 'beautiful river with a pebbly bottom'",Wikipedia: Nashua River,2000
Nissitissit River,42.671667,-71.564722,river,native-name,Pepperell,MA,"Algonquian-named tributary joining the Nashua River here from Hollis, NH",Wikipedia: Nissitissit River,1000
Nichewaug,42.4375,-72.20361,other,native-name,Petersham,MA,Nipmuck-area (Loup A language) name meaning 'the land between'; former village,"Wikipedia: Nichewaug, Massachusetts",500
Quabbin Reservoir,42.35917,-72.3,lake,native-name,Petersham/Hardwick/Ware,MA,"Nipmuc, 'place of many waters'; name transferred from a hill and lake flooded to build the reservoir",Wikipedia: Quabbin Reservoir,3000
Housatonic River,42.433611,-73.250833,river,native-name,Pittsfield,MA,"Mohican 'usi-a-di-en-uk', 'beyond the mountain place'; forms at confluence of E/W branches",Wikipedia,2000
Lake Onota,42.47667,-73.26611,lake,native-name,Pittsfield,MA,Mohican-derived lake name,Wikipedia,400
Pontoosuc Lake,42.48475,-73.247306,lake,native-name,Pittsfield/Lanesborough,MA,Mohican-derived lake name,Mass.gov,400
Massasoit National Wildlife Refuge,41.889167,-70.643333,park,native-reference,Plymouth,MA,Named for Wampanoag leader Massasoit,GeoNames,500
Massasoit Statue,41.958056,-70.661944,other,native-reference,Plymouth,MA,Bronze statue of Massasoit overlooking Plymouth Harbor at Cole's Hill,GeoNames,100
Tispaquin Pond,41.863333,-70.857222,pond,native-name,Plymouth,MA,"Named for Tispaquin, the Wampanoag 'Black Sachem'",GeoNames,400
Wachusett Meadow Wildlife Sanctuary,42.4557,-71.9055,meadow,native-name,Princeton,MA,"1,135-acre Mass Audubon sanctuary named for Mount Wachusett",Wikipedia: Wachusett Meadow Wildlife Sanctuary,300
Quinapoxet River,42.39611,-71.88306,river,native-name,Princeton/Holden,MA,"Nipmuc, 'at the place of the little long pond' or 'the long swamp'",Wikipedia: Quinapoxet River,1000
Mount Wachusett,42.48889,-71.8875,mountain,native-name,Princeton/Westminster,MA,Natick/Nipmuc for 'near the mountain' or 'mountain place',Wikipedia: Mount Wachusett,500
Moswetuset Hummock,42.289444,-71.021667,hill,native-name,Quincy,MA,Moswetuset = 'arrowhead-shaped hill'; source of the name Massachusetts,Wikipedia (Moswetuset Hummock),200
Squantum,42.3,-71.03889,neck,native-reference,Quincy,MA,"Peninsula/neighborhood named for Squanto (Tisquantum), guide to Plymouth Colony",Wikipedia (Squantum Point Park),500
Chickatawbut Hill,42.212146,-71.114061,hill,native-reference,Quincy/Milton,MA,Hill and parkway road in Blue Hills Reservation named for Sachem Chickatawbut,Wikipedia (Blue Hills Reservation),1000
Squawbetty Hill,41.888435,-71.034210,hill,native-reference,Raynham,MA,Hill name recording a Native presence (also 'Squabetter'/'Squawbally' Hill),GeoNames,300
Anawan Rock,41.865000,-71.214440,rock,native-reference,Rehoboth,MA,"Where Anawan, Metacomet's captain, surrendered, ending King Philip's War (1676)",Wikipedia,100
Squannakonk Swamp,41.854270,-71.210600,swamp,native-name,Rehoboth,MA,"Large swamp, now partly protected by local land trust preserves",Mapcarta/GeoNames,500
Snipatuit Pond,41.776670,-70.863330,pond,native-name,Rochester,MA,Headwater pond of the Mattapoisett River,Wikipedia,400
Sippican River,41.738000,-70.749000,river,native-name,Rochester/Marion/Mattapoisett,MA,Possibly 'long river'; Marion was formerly named Sippican,Wikipedia,1000
Mattapoisett River,41.662604,-70.838370,river,native-name,Rochester/Mattapoisett,MA,Historically called 'the Herring Run' for its alewife run,Wikipedia/USGS,1000
Woronoco,42.165647,-72.829263,other,native-name,Russell,MA,"Pocumtuck name for the area, 'the winding land'; former village on the Westfield R.",Wikipedia; USGS,800
Naumkeag,42.51944,-70.89722,other,native-name,Salem,MA,Original Massachusett name for Salem; 'eel land/fishing ground',"Wikipedia (Salem, Massachusetts)",800
Scusset Beach,41.781217,-70.503639,other,native-name,Sandwich,MA,"Scusset, earlier Algonquian-derived name for this shore",Wikipedia,300
Saugus River,42.395931,-70.949493,river,native-name,Saugus/Lynn,MA,Saugus = Natick for 'outlet'; native name Aboutsett meant 'winding stream',Wikipedia; Topozone (Broad Sound),1500
Runnins River,41.777222,-71.323056,river,native-name,Seekonk,MA,Small river near the Rhode Island line,GeoNames,800
Lake Massapoag,42.10111,-71.17694,lake,native-name,Sharon,MA,Massapoag = 'large water' (Algonquian),Wikipedia (Lake Massapoag),400
Konkapot River,42.0505,-73.343,river,native-name,Sheffield,MA,"Named for Mohican sachem Captain John Konkapot; point at mouth on Housatonic, Ashley Falls",Wikipedia,1500
Shewamet,41.719500,-71.184800,other,native-name,Somerset,MA,Historic Native name ('Shewamet Purchase'/'Skawomet') for Somerset,GeoNames,1000
Congamond Lakes,42.04139,-72.75719,lake,native-name,Southwick,MA,Native-named lake system on the Massachusetts-Connecticut line,Mass.gov,800
Connecticut River (Quinnetukut),42.10139,-72.59028,river,native-name,Springfield,MA,"Mohegan quinetucket / Nipmuc kwinitekw, 'long tidal river'",Wikipedia,3000
East Waushacum Pond,42.41126,-71.74743,pond,native-name,Sterling,MA,"Algonquian pond name in Sterling, paired with West Waushacum Pond",Mapcarta,300
West Waushacum Pond,42.41429,-71.76441,pond,native-name,Sterling,MA,"Algonquian pond name in Sterling, paired with East Waushacum Pond",Mapcarta,300
Stockbridge Bowl (Lake Mahkeenac),42.337,-73.318,lake,native-name,Stockbridge/Lenox,MA,Mohican name Mahkeenac for this lake basin,Wikipedia,500
Tantiusques,42.05722,-72.13111,other,native-name,Sturbridge,MA,"Nipmuc word meaning 'the place between two low hills'; graphite mine, named for sachem Tantasqua's territory",Wikipedia: Tantiusques,300
Manchaug Pond,42.09417,-71.74722,pond,native-name,Sutton,MA,Named for a 1670s Nipmuc praying town whose name persisted for the pond and later mill village,Wikipedia: Manchaug Village Historic District,400
Wannamoisett,41.757094,-71.212024,other,native-name,Swansea,MA,Historic Native name/purchase title for the town of Swansea,GeoNames,1000
Segreganset River,41.825000,-71.119000,river,native-name,Taunton/Dighton,MA,Tributary of the Taunton River,Wikipedia,1000
Pamet River,41.992330,-70.072250,river,native-name,Truro,MA,Named for the Pamet (Paomet) people,Wikipedia; Mapcarta,1000
