site_name,latitude,longitude,confidence,error_margin_m,state,town,bulletin_issue,pdf_page,location_basis,version_note
Tobey Site,41.837600,-71.243100,medium,300,MA,Rehoboth,"Vol. 78, No. 2 (2017)",6658,2017 topo marker A; text: Rehoboth village just S of E-W segment of Palmer River,v2: revised in map pass
Dyer Site,41.845000,-71.250000,weak,3000,MA,Rehoboth,"Vol. 50, No. 2 (1989)",4156,Town only,
South Swansea (Gardner's Neck) Burials,41.714000,-71.206000,medium,400,MA,Swansea,"Vol. 8, No. 3 (1947)",631,Louise Ave off Calif Ave near end of Gardner's Neck; gravel knoll 40 ft ASL over Coles River,
Cedar Dell Pond Site (19-BR-218),41.664000,-71.000000,weak,700,MA,Dartmouth,"Vol. 44, No. 2 (1983)",3558,"SE periphery of Cedar Dell Pond, 50 m from E shore",
Swift Site,41.672000,-70.917000,medium,600,MA,Acushnet,"Vol. 49, No. 2 (1988)",4068,E bank of upper (tidal) Acushnet River across from New Bedford; old Rudolphus Swift estate,
Slocum River Burials,41.560000,-70.980000,weak,2000,MA,Dartmouth,,,"Byers, Two Burials on the Slocum River; river only",
Nook Farm Camp Site (M41/9),41.942000,-70.656000,weak,700,MA,Plymouth,"Vol. 4, No.1 (1942)",300,"Headwaters of Wellingsley Brook (Plymouth Rock Trout Co.), ~3/4 mi from tidewater",
Burgess Pasture Site,41.930000,-70.670000,weak,3000,MA,Plymouth,"Vol. 11, No. 1 (1949)",871,Plymouth area; not on a river (per later Eel River discussion),
Browne Site (Eel River),41.934000,-70.636000,weak,800,MA,Plymouth,"Vol. 72, No. 1 (2011)",6065,Crib Browne estate along the Eel River; ~40 ft from water,
Plimoth Plantation Spring Site,41.939000,-70.625000,medium,400,MA,Plymouth,"Vol. 55, No. 2 (1994)",4613,On the Plimoth Plantation grounds by the Eel River,
Powers Shell Heap (M-41-82),41.995000,-70.716000,weak,500,MA,Kingston,"Vol. 9, No 4 (1948)",742,N shore of a cove of Foundry Pond (dammed Smelt Brook),
Powell Site (19-PL-584),41.994500,-70.701000,medium,400,MA,Kingston,"Vol. 49, No. 1 (1988)",4054,"Coastal upland <1/4 mi from mouth of Jones River, River Street; part of Bay Farm",
Powell-Heckman Trust Site (19-PL-584),41.994800,-70.702000,medium,400,MA,Kingston,"Vol. 59, No. 2 (1998)",4964,Powell house on River Street near Jones River mouth,
Bay Farm Site,41.996000,-70.696000,medium,500,MA,Kingston,"Vol. 23, No. 2 (1962)",1981,"Coastal upland 1/4 mi from mouth of Jones River, former Bay Farm dairy",
Hathaway Site,41.983000,-70.698000,weak,500,MA,Kingston,"Vol. 49, No. 1 (1988)",4021,Rocky Nook; wooded shelf overlooking marsh and river,
Margaret Angell Site,41.990000,-70.715000,weak,2000,MA,Kingston,"Vol. 61, No. 2 (2000)",5125,22-acre site E of Angell house,
Howland Orchard Site,42.035000,-70.685000,weak,1000,MA,Duxbury,"Vol. 56, No. 1 (1995)",4658,"Shell midden at Howland farm stand, Bay Road",
North Hill Marsh Site,42.060000,-70.708000,weak,800,MA,Duxbury,"Vol. 26, No. 1 (1964)",2195,Sand terrace beside wooded plateau at North Hill Marsh,
Cut River Point Site,42.077500,-70.655000,medium,300,MA,Marshfield,"Vol. 83, Nos. 1 & 2 (2022)",6996,"End of Assumption Road ~1/2 mi from Green Harbor, adjacent to Cut River",
Marshfield Site (Locus 9),42.090000,-70.700000,weak,3000,MA,Marshfield,"Vol. 79, No. 2 (2018)",6821,Town only,
Blue Heron Site (19-PL-847),42.073500,-70.648000,medium,500,MA,Marshfield,"Vol. 62, No. 2 (2001)",5240,"Base of the Duxbury Beach peninsula, with Peach Orchard site adjacent (Fig. 2)",v3: revised in map pass
Winslow Site,42.087000,-70.676000,weak,1500,MA,Marshfield,"Vol. 13, No. 1 (1951)",1058,"Winslow estate area, Marshfield (Bullen notes)",
Hatherly Site,42.164000,-70.728000,weak,800,MA,Scituate,"Vol. 10, No. 2 (1949)",804,"Head of navigation on First Herring Brook, which enters North River ~1 mi above its mouth",
Neal Gate Site,42.114000,-70.803000,weak,700,MA,Pembroke,"Vol. 72, No. 1 (2011)",6067,Intersection of Neal Gate Street and the North River,
Henderson Site (Gulf River village),42.233000,-70.790000,weak,800,MA,Cohasset,"Vol. 10, No. 2 (1949)",803,"N bank of Gulf River, which enters Cohasset Harbor",
Ponkapoag Site (M-35-7),42.195500,-71.104500,medium,350,MA,Canton,"Vol. 38, No. 3 (1977)",3125,NW edge of Ponkapoag Pond near YMCA camp; reached from Rte 128 via Redman Farm road,
Green Hill Site,42.220000,-71.052000,weak,1200,MA,Quincy/Braintree,"Vol. 41, No. 1 (1980)",3329,Near Rte 128 on Blue Hills fringe; Pondville conglomerate exposures to the south,
Brook Meadow Site,42.225500,-71.122500,weak,1000,MA,Milton/Canton,"Vol. 35, Nos. 1 & 2 (1974)",2879,On Milton-Canton line at Blue Hills fringe near Neponset River; Hemenway South Farm,
Neponset Site (19-NF-70),42.197500,-71.148000,medium,700,MA,Canton,"Vol. 66, No. 2 (2005)",5546,Western Canton on former peninsula in Fowl Meadow,
Wamsutta Site (19-NF-70 locus),42.199000,-71.150000,weak,900,MA,Canton,"Vol. 55, No. 1 (1994)",4574,Same MHC number as Neponset site; shore of glacial lake,
Tillite Bluff Site (M35-17),42.239000,-71.081000,weak,1000,MA,Milton,"Vol. 35, Nos. 1 & 2 (1974)",2895,"Hill E of Randolph Avenue, quarries just E of a golf course",
Blue Hill River Workshop (M-35-1),42.212500,-71.033500,medium,500,MA,Braintree,"Vol. 2, No.2 (1941)",157,"Blue Hill Nurseries, Blue Hill Cemetery and MDC Reservation along Blue Hill River",
Gills Farm Site (19-NF-40),42.180000,-71.025000,weak,1500,MA,Randolph/Braintree,"Vol. 50, No. 2 (1989)",4174,Cochato River valley,
Mill Street Site (Cochato),42.170000,-71.015000,weak,1500,MA,Holbrook/Braintree,"Vol. 19, No 2 (1958)",1653,Small knoll in Cochato River valley,
Caddy Park Site (19-NF-467),42.271500,-71.018000,medium,300,MA,Quincy,"Vol. 63, Nos. 1 & 2 (2002)",5248,"Drumlin at mouth of Black's Creek, Quincy Shore Drive",
Spectacle Island Site (19-SU-38),42.322500,-70.984500,medium,300,MA,Boston,"Vol. 63, Nos. 1 & 2 (2002)",5254,Near S end of southern drumlin of Spectacle Island,
Calf Island Site,42.340500,-70.896000,medium,300,MA,Boston,"Vol. 46, No. 1 (1985)",3768,"Calf Island, outer Boston Harbor",
Water Street Site (19-SU-59),42.371000,-71.061000,medium,300,MA,Charlestown,"Vol. 49, No. 1 (1988)",4055,"Lower Charles estuary shore, Charlestown",
Charlestown Town Dock Prehistoric Site,42.373000,-71.062000,weak,500,MA,Charlestown,"Vol. 63, Nos. 1 & 2 (2002)",5256,Lithic workshop under peat at 17th-c dock on N shore of Charlestown peninsula,
Three Cranes Tavern Site,42.371800,-71.061700,medium,200,MA,Charlestown,"Vol. 81, Nos. 1 & 2 (2020)",6874,"City Square, Charlestown",
Boston Common / Frog Pond Sites,42.356000,-71.065500,medium,200,MA,Boston,"Vol. 68, No. 1 (2007)",5693,Frog Pond on Boston Common,
Boylston Street Fishweir,42.350000,-71.074000,medium,300,MA,Boston,"Vol. 4, No.2 (1943)",314,"Back Bay, Boylston St",
King Philip's Rocks Site,42.087000,-71.209000,weak,800,MA,Sharon,"Vol. 71, No. 1 (2010)",5935,Ceremonial stone site; another site ~1.5 km W at Sharon/Foxboro line,
Mansion Inn Site,42.326500,-71.369500,medium,300,MA,Wayland,"Vol. 23, No. 1 (1961)",1945,"High flat knoll on ridge between Dudley Pond and Lake Cochituate, ~200 yds from each",
Heard Pond Site,42.357000,-71.379000,medium,600,MA,Wayland,"Vol. 7, No. 1 (1945)",504,"Along whole W side of Heard Pond, ~1 mile",
Castle Hill Site,42.380000,-71.345000,weak,1200,MA,Wayland,"Vol. 63, Nos. 1 & 2 (2002)",5301,Drainage map places it E of the Sudbury River near the Wayland/Weston/Lincoln corner,v3: revised in map pass
Watertown Dairy Site,42.355000,-71.365000,weak,2000,MA,Wayland,"Vol. 53, No. 1 (1992)",4414,Town only,
Washakumaug Site,42.279000,-71.412000,medium,300,MA,Framingham,"Vol. 25, No. 2 (1964)",2136,Near NE corner of Farm Pond,
Davis Farm (Pantry Brook Village) Site,42.405000,-71.385000,weak,800,MA,Sudbury,"Vol. 45, No. 2 (1984)",3730,Smith Collection map site G (southern part of map less accurate),v4: revised in figure pass
Concord Shell Heap / Clamshell Bluff (19-MD-388),42.455500,-71.373000,medium,400,MA,Concord,"Vol. 45, No. 2 (1984)",3730,Smith Collection site-key map (georeferenced to 5 town centers) averaged with text: high N bank of Sudbury River,v4: revised in figure pass
Dugans Brook Knoll Site (19-MD-151),42.446000,-71.373000,weak,600,MA,Concord,"Vol. 70, No. 1 (2009)",5824,"Sandy knoll S of Dugan's (Nut Meadow) Brook, short distance upriver of Clamshell Bluff",
Dakin Farm Site,42.475600,-71.364000,medium,500,MA,Concord,"Vol. 45, No. 2 (1984)",3730,"Smith Collection site-key map, site E on Assabet River",v4: revised in figure pass
Thoreau Farm / Birthplace Site,42.459800,-71.331000,weak,1500,MA,Concord,"Vol. 72, No. 2 (2011)",6093,Artifacts labelled from Concord River near Thoreau farm; exact site unresolved in article,
Oak Knoll Site,42.452500,-71.323000,weak,600,MA,Lincoln,"Vol. 64, No. 2 (2003)",5374,"N Lincoln, S side of Rte 2 east of Rte 2A junction, elev 72.5 m on terrace W of drumlin",
Hartwell Farm Site (19-MD-119),42.450000,-71.301100,medium,500,MA,Lincoln,"Vol. 45, No. 2 (1984)",3730,"Smith Collection site-key map, site J",v4: revised in figure pass
Pine Hawk Site (19-MD-793),42.430000,-71.440000,weak,1200,MA,Acton,"Vol. 63, Nos. 1 & 2 (2002)",5308,"Assabet River, Acton",
Flagg Swamp Rockshelter,42.335000,-71.570000,weak,1300,MA,Marlborough,"Vol. 44, No. 2 (1983)",3576,"Flagg Swamp, Marlborough",
Charlestown Meadows Site,42.283000,-71.633000,weak,1000,MA,Westborough,"Vol. 44, No. 2 (1983)",3571,"Upland-lowland transition, 350 ft ASL",
Sally Rock Shelter & Quarry,42.300500,-71.620000,weak,1500,MA,Westborough,"Vol. 42, No. 2 (1981)",3432,Rockshelter talus with bog at foot; near Chauncy Lake/Orchard Swamp survey area,
Tall Pines Rockshelter,42.417000,-71.683000,weak,2000,MA,Clinton,"Vol. 65, No. 1 (2004)",5415,Town only,
Call Site (19-MD-37),42.558000,-71.269000,weak,1500,MA,Billerica,"Vol. 67, No. 2 (2006)",5640,Billerica; Curtis cache nearby at Boston Brook/Ipswich River,
Concord River Site (Billerica),42.580000,-71.280000,weak,1500,MA,Billerica,,,Vossberg & Mansfield 16(2):20,
Reedy Meadow Brook Site,42.665000,-71.580000,weak,2000,MA,Pepperell,"Vol. 49, No. 1 (1988)",4053,Town only,
Stickney Site,42.627000,-71.158000,medium,600,MA,Andover,"Vol. 5, No.2 (1944)",378,Ballardvale village on the Shawsheen,
Foster's Cove Site,42.645000,-71.158000,weak,700,MA,Andover,"Vol. 7, No. 2 (1946)",522,E part of level area 20 ft above Shawsheen at a bend where a brook forms a cove; ~2 mi from Stickney,
Hofmann Site (M-12-43),42.623500,-71.164000,weak,600,MA,Andover,"Vol. 5, No.2 (1944)",387,"Pomp's Pond area, Andover",
Camp Maud Eaton Site,42.628500,-71.163500,medium,300,MA,Andover,"Vol. 7, No. 2 (1946)",543,N shore of Pomp's Pond,
Pringle Site (19-MD-18),42.612000,-71.188000,weak,800,MA,Tewksbury,"Vol. 64, No. 1 (2003)",5333,Small terrace on E side of Shawsheen ~20 ft above river; plateau between river and swamp ~3 mi S of Andover,
Indian Roger Site,42.658000,-71.145000,weak,1500,MA,Andover,"Vol. 24, Nos. 3 & 4 (1963)",2076,~1/4 mile W of Andover (town center),
Shawsheen River Site (M12-SW-88),42.630000,-71.170000,weak,2500,MA,Andover,"Vol. 20, No. 3 (1959)",1754,"Shawsheen River, Lawrence quad SW",
Den Rock Site,42.684500,-71.139000,medium,300,MA,Andover/Lawrence,"Vol. 64, No. 1 (2003)",5333,Den Rock on the Andover-Lawrence border,
Shattuck Farm Site,42.669000,-71.205000,weak,1000,MA,Andover,"Vol. 48, No. 2 (1987)",3983,"Merrimack River, Andover",
Whortleberry Hill Site (19-MD-846),42.690000,-71.300000,weak,2500,MA,Dracut,"Vol. 66, No. 1 (2005)",5497,Town only,
Wyoming Quarry Site (19-MD-251),42.464000,-71.058000,weak,400,MA,Melrose,"Vol. 59, No. 1 (1998)",4916,Hill ~1/4 mi NE of Wyoming Cemetery (Melrose green source),
Bull Brook Site (M13/36),42.708000,-70.871000,medium,800,MA,Ipswich,"Vol. 13, No. 4 (1952)",1116,"Spit <1/2 mi wide between Bull Brook and Muddy Run, upper Rowley River; ~40 ft ASL; sand pit",
Neck Creek Shell Heap,42.696000,-70.792000,medium,400,MA,Ipswich,"Vol. 9, No. 1 (1947)",666,"S slope of Middle Ridge, Great Neck, beside brook to Neck Creek marsh",
Clark's Pond Shell Heap,42.699000,-70.789000,medium,300,MA,Ipswich,"Vol. 79, No. 1 (2018)",6710,"Clark's Pond, Great Neck",
Danvers Site,42.585000,-70.980000,weak,1500,MA,Danvers,"Vol. 73, No. 1 (2012)",6149,Brook 150 m from Ipswich River near Town Forest,
Sunset Hill (Poles Hill) Solstice Site,42.629300,-70.682600,strong,30,MA,Gloucester,"Vol. 76, No. 1 (2015)",6450,Gnomon coordinates from the article's Figure 12 table,
Matz Site,42.651500,-70.683000,weak,600,MA,Gloucester,"Vol. 74, No. 2 (2013)",6310,Contact Period site adjacent to Wingaersheek Beach and Jones River,
Indian Lake Site (M-21-4),42.296500,-71.825500,medium,400,MA,Worcester,"Vol. 1, No.1 (1939)",18,"N shore of Indian Lake (North Pond), Norton Co. boat house",
Dolly Bond Steatite Quarry (M-32/6),42.180000,-71.770000,medium,400,MA,Millbury,"Vol. 2, No.1 (1940)",121,"~1/4 mi E of Rte 122A, just N of Hathaway Pond and Sutton line",
Horne Hill Soapstone Quarry,42.189000,-71.780000,medium,500,MA,Millbury,"Vol. 27, No. 2 (1966)",2286,"Bramanville, steep hill 130 ft above main road; ~3/4 mi NW of Dolly Bond",
Oakholm Site (Quaboag Lake),42.200000,-72.095000,medium,500,MA,Brookfield,"Vol. 27, Nos 3 & 4 (1966)",2309,SW shore of Quaboag Lake,
Quabaug Fortified Village (reputed),42.202000,-72.078000,weak,1000,MA,Brookfield,"Vol. 10, No. 3 (1949)",819,Reputed site on SE shore of Lake Quaboag,
Eagle Dam Site,42.064000,-71.344000,weak,500,MA,Wrentham,"Vol. 12, No. 4 (1951)",1036,"N shore of Lake Pearl at headwaters of Eagle Brook, ~150 yds NE of dam",
Beaver Pond Sites - Caterina Site,42.095000,-71.411000,weak,600,MA,Franklin,"Vol. 51, No. 1 (1990)",4226,NE side of Beaver Pond,
Beaver Pond Sites - Beaver Street Knoll,42.093500,-71.413000,weak,600,MA,Franklin,"Vol. 51, No. 1 (1990)",4220,Knoll at Beaver Street; N part destroyed by road,
Beaver Pond Sites - Beaver Flats,42.093000,-71.414000,weak,600,MA,Franklin,"Vol. 51, No. 1 (1990)",4219,"Low terrace adjacent to pond, S of Beaver Street",
Beaver Pond Sites - Knoll Dump,42.094500,-71.413500,weak,600,MA,Franklin,"Vol. 51, No. 1 (1990)",4217,Knoll N of Beaver Street,
Beaver Pond Sites - American Felt,42.092000,-71.412000,weak,900,MA,Franklin,"Vol. 51, No. 1 (1990)",4223,Beaver Pond locale,
Beaver Pond Sites - Chelsea Drum,42.092500,-71.410000,weak,900,MA,Franklin,"Vol. 51, No. 1 (1990)",4221,Beaver Pond locale,
Blue Flag Site,42.106000,-71.448000,medium,900,MA,Bellingham,"Vol. 61, No. 1 (2000)",5102,"Sites plotted on 1794 Bellingham town plan, NE part of town along Charles River",v4: revised in figure pass
East Terrace Site,42.107500,-71.447500,medium,900,MA,Bellingham,"Vol. 61, No. 1 (2000)",5102,1794 Bellingham plan (East Terrace I/II),v4: revised in figure pass
West Terrace Site,42.108500,-71.452000,medium,900,MA,Bellingham,"Vol. 61, No. 1 (2000)",5102,1794 Bellingham plan (West Terrace I/II),v4: revised in figure pass
Longshadow Site,42.101000,-71.446000,medium,900,MA,Bellingham,"Vol. 61, No. 1 (2000)",5102,1794 Bellingham plan,v4: revised in figure pass
Hartford Avenue Rockshelter,42.093000,-71.633000,weak,800,MA,Uxbridge,"Vol. 65, No. 1 (2004)",5415,Bedrock outcrop ~700 ft N of original Hartford Ave overpass over Rte 146,
Mill River Site,42.100000,-71.530000,weak,2000,MA,Mendon,"Vol. 24, No. 2 (1963)",2048,"Ferrucci farm, terrace ~20 ft above Mill River",
Fortified Hill in Mendon,42.105000,-71.552000,weak,2500,MA,Mendon,"Vol. 9, No 4 (1948)",742,Town only,
Turners Falls Site (19-FR-324),42.599000,-72.548000,weak,800,MA,Montague,"Vol. 66, No. 2 (2005)",5546,"Turners Falls village, 360 ft ASL, <1 mi from Connecticut River",
Wills Hill Site,42.576000,-72.545000,weak,1200,MA,Montague,"Vol. 38, Nos. 1 & 2 (1976)",3092,"Location map: between Montague City and Lake Pleasant, N of Connecticut River",v4: revised in figure pass
Blaine Site,42.546000,-72.648000,medium,300,MA,Deerfield,"Vol. 44, No. 1 (1983)",3544,S side of Deerfield River ~200 m S of the Stillwater Bridge (Fig. 5 USGS map),v3: revised in map pass
Guida Farm Site,42.125000,-72.720000,weak,800,MA,Westfield,"Vol. 7, No. 4 (1946)",588,"Guida Farm ~1.5 mi E of Westfield city, floodplain",
Palmer Site (19-HD-97),42.130000,-72.770000,weak,2000,MA,Westfield,"Vol. 48, No. 2 (1987)",3993,Kame terrace over tributary of Westfield River,
Westfield Steatite Quarry,42.140000,-72.760000,weak,3000,MA,Westfield,"Vol. 11, No. 4 (1950)",976,Town only,
Granfield Site,42.060000,-72.630000,weak,1500,MA,Agawam,"Vol. 48, No. 1 (1987)",3944,"S margin of 'Grasso Locus', Agawam",
Wilbraham Stone Bowl Quarry,42.150000,-72.430000,weak,2000,MA,Wilbraham,"Vol. 25, Nos 3 & 4 (1964)",2174,Pasture ~1/4 mi up valley from bowl find; N Wilbraham,
Hockanum Road Trading Center,42.310000,-72.597000,weak,1500,MA,Hadley,,,Howes 3(4):58,
Judd Tract,42.260000,-72.580000,weak,2500,MA,South Hadley,"Vol. 7, No. 4 (1946)",574,Town only,
Holden Site (High Head),42.062500,-70.112000,medium,300,MA,Truro,"Vol. 7, No. 2 (1946)",522,High Head ~2 mi NW of N Truro village; ~400 ft NW of Small's Swamp,
Rich Site (M38-6),42.061700,-70.111800,medium,300,MA,Truro,"Vol. 3, No.1 (1941)",225,"~300 ft S of Holden site, High Head",
Small's Swamp Shell Heap,42.061200,-70.110500,medium,300,MA,Truro,"Vol. 12, No. 4 (1951)",1042,"Small's Swamp, High Head",
Peaked Hill Site,42.069000,-70.148000,weak,800,MA,Provincetown,"Vol. 7, No. 3 (1946)",561,"Dunes ~2.75 mi NE of Provincetown center near Peaked Hill CG Station, 1/4 mi from each water body",
Rose Site,42.009000,-70.067000,medium,400,MA,Truro,"Vol. 7, No. 2 (1946)",527,"Near a spring 1/2 mi E of Corn Hill, visible from state highway",
Railroad Site,42.008000,-70.072000,weak,600,MA,Truro,"Vol. 7, No. 2 (1946)",527,Midden crossed by old railroad grade near Corn Hill,
Corn Hill Sites / Brass Kettle Find,42.008500,-70.078000,medium,400,MA,Truro,,,Corn Hill,
Ryder Beach Site,41.989500,-70.077500,medium,400,MA,Truro,"Vol. 7, No. 2 (1946)",528,Eroding bank at Ryder Beach,
Hillside Site,42.000000,-70.055000,weak,2000,MA,Truro,"Vol. 11, No. 1 (1949)",871,Town only,
Seth's Swamp Site,41.958000,-70.018000,weak,1000,MA,Wellfleet,"Vol. 7, No. 3 (1946)",556,"Seth's Swamp, Wellfleet",
Taylor Hill Site / Burial Pit,41.931500,-70.035000,medium,300,MA,Wellfleet,"Vol. 7, No. 4 (1946)",574,Hill ~80 ft above Mayo Beach on N shore of Wellfleet Harbor,
Indian Neck Ossuary/Shellheap,41.917000,-70.035000,medium,500,MA,Wellfleet,"Vol. 55, No. 2 (1994)",4613,Indian Neck on E shore of Wellfleet Harbor,
Freeman-Paine Site,41.940000,-70.030000,weak,2000,MA,Wellfleet,"Vol. 12, No. 4 (1951)",1042,Town only,
Hemenway Site (M-42-42),41.819500,-69.970000,medium,300,MA,Eastham,"Vol. 3, No.3 (1942)",251,Knoll ~200 m E of Rte 6; Hemenway Road ~3/4 mi S of Town Hall passes through site,
Coburn Site,41.783000,-69.956000,medium,500,MA,Orleans,"Vol. 22, No. 3 & 4 (1961)",1905,"Barley Neck, East Orleans; swale ~30 ft ASL between Pochet Island and the ocean side (Fig. 1 location map)",v3: revised in map pass
Oak Ridge Site,41.776000,-70.000000,weak,700,MA,Orleans,"Vol. 69, No. 1 (2008)",5752,High ground at head of Namskaket Marsh,
Marshall Site (19-BN-659),41.778000,-70.010000,weak,1000,MA,Brewster,"Vol. 69, No. 1 (2008)",5752,Namskaket Marsh area,
